per x-height; ratios are this cut / the family's first cut
family          cut            stem   cntr    nsb  white | r_stem r_cntr  r_nsb r_white  white-per-stem slope
Palatino        Regular       0.173  0.503  0.021  0.098 |   1.00   1.00   1.00    1.00
Palatino        Bold          0.259  0.374  0.052  0.125 |   1.50   0.74   2.46    1.28  +0.317
Palatino It     Italic        0.152  0.392  0.080  0.100 |   1.00   1.00   1.00    1.00
Palatino It     Bold Italic   0.236  0.304  0.052  0.106 |   1.56   0.77   0.65    1.07  +0.079
Baskerville     Regular       0.173  0.526  0.062  0.118 |   1.00   1.00   1.00    1.00
Baskerville     SemiBold      0.316  0.409  0.049  0.112 |   1.82   0.78   0.79    0.95  -0.042
Baskerville     Bold          0.402  0.320  0.032  0.103 |   2.32   0.61   0.52    0.87  -0.068
Baskerville It  Italic        0.152  0.328  0.043  0.028 |   1.00   1.00   1.00    1.00
Baskerville It  Bold Italic   0.398  0.240  0.031  0.048 |   2.62   0.73   0.72    1.69  +0.079
Charter         Regular       0.173  0.443  0.049  0.113 |   1.00   1.00   1.00    1.00
Charter         Bold          0.255  0.379  0.041  0.091 |   1.48   0.86   0.84    0.80  -0.271
Charter         Black         0.339  0.343  0.044  0.094 |   1.96   0.77   0.89    0.83  -0.116
Charter It      Italic        0.167  0.404  0.076  0.105 |   1.00   1.00   1.00    1.00
Charter It      Bold Italic   0.247  0.347  0.059  0.086 |   1.48   0.86   0.77    0.82  -0.233
Iowan           Regular       0.169  0.485  0.063  0.120 |   1.00   1.00   1.00    1.00
Iowan           Bold          0.235  0.432  0.049  0.109 |   1.39   0.89   0.79    0.91  -0.167
Iowan           Black         0.344  0.346  0.030  0.089 |   2.03   0.71   0.48    0.74  -0.176
Iowan It        Italic        0.155  0.358  0.046  0.081 |   1.00   1.00   1.00    1.00
Iowan It        Bold Italic   0.225  0.328  0.030  0.069 |   1.46   0.92   0.66    0.86  -0.159
Georgia         Regular       0.189  0.432  0.056  0.092 |   1.00   1.00   1.00    1.00
Georgia         Bold          0.331  0.369  0.040  0.074 |   1.75   0.85   0.71    0.81  -0.121
Georgia It      Italic        0.186  0.405  0.069  0.090 |   1.00   1.00   1.00    1.00
Georgia It      Bold Italic   0.325  0.329  0.029  0.068 |   1.75   0.81   0.41    0.75  -0.161
Times           Regular       0.192  0.390  0.034  0.081 |   1.00   1.00   1.00    1.00
Times           Bold          0.306  0.292  0.042  0.084 |   1.60   0.75   1.26    1.03  +0.023
Cochin          Regular       0.210  0.522  0.063  0.111 |   1.00   1.00   1.00    1.00
Cochin          Bold          0.312  0.431  0.029  0.067 |   1.49   0.83   0.46    0.61  -0.423
Hoefler Text    Regular       0.209  0.445  0.035  0.099 |   1.00   1.00   1.00    1.00
Hoefler Text    Black         0.385  0.319 -0.006  0.046 |   1.84   0.72  -0.16    0.46  -0.301
Superclarendon  Regular       0.269  0.485  0.076  0.143 |   1.00   1.00   1.00    1.00
Superclarendon  Light         0.177  0.587  0.076  0.143 |   0.66   1.21   1.00    1.00  +0.003
Superclarendon  Bold          0.360  0.385  0.076  0.143 |   1.34   0.79   1.00    1.00  -0.004
Superclarendon  Black         0.448  0.285  0.076  0.142 |   1.66   0.59   1.00    0.99  -0.006
Pagella         Regular       0.179  0.507  0.017  0.092 |   1.00   1.00   1.00    1.00
Pagella         Bold          0.259  0.380  0.051  0.127 |   1.45   0.75   2.99    1.38  +0.440
Pagella It      Italic        0.156  0.392  0.068  0.082 |   1.00   1.00   1.00    1.00
Pagella It      Bold Italic   0.237  0.307  0.055  0.112 |   1.52   0.78   0.81    1.37  +0.371
ALBO            Regular       0.142  0.563  0.106  0.204 |   1.00   1.00   1.00    1.00
ALBO            ExtraLight    0.097  0.532  0.106  0.203 |   0.68   0.94   0.99    0.99  +0.027
ALBO            Bold          0.239  0.508  0.102  0.195 |   1.68   0.90   0.96    0.95  -0.095
ALBO            Black         0.298  0.501  0.101  0.192 |   2.10   0.89   0.95    0.94  -0.076
ALBO It         Italic        0.137  0.310  0.093  0.132 |   1.00   1.00   1.00    1.00
ALBO It         BoldItalic    0.209  0.224  0.089  0.126 |   1.52   0.72   0.96    0.96  -0.076

SUMMARY over references (heavier cut vs the family's first cut), ALBO excluded:
  roman: n=15  white slope per unit stem median -0.068 (range -0.423..+0.440);  r_white median 0.91, r_stem median 1.60, r_counter median 0.77;  white follows the stem ratio by a fraction median -0.10 (range -0.80..0.86)
  italic: n=6  white slope per unit stem median -0.040 (range -0.233..+0.371);  r_white median 0.96, r_stem median 1.54, r_counter median 0.80;  white follows the stem ratio by a fraction median -0.09 (range -0.37..0.70)
